Country,capital
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Antigua and Barbuda,Saint John's
Argentina,Buenos Aires
Armenia,Yerevan
Aruba,Oranjestad
Australia,Canberra
Austria,Vienna
land Islands,Mariehamn
Azerbaijan,Baku
The Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,PortoNovo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia,La Paz
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Braslia
British Virgin Islands,Road Town
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Gitega
Cambodia,Phnom Penh
Cameroon,Yaound
Canada,Ottawa
Cape Verde,Praia
Cayman Islands,George Town
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China People's Republic of,Beijing
Christmas Island,Flying Fish Cove
Cocos Islands,West Island
Colombia,Bogot
Comoros,Moroni
Republic of the Congo,Brazzaville
Democratic Republic of the Congo,Kinshasa
Cook Islands,Avarua
Costa Rica,San Jos
Cte d'Ivoireformerly Ivory Coast,Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Curaao,Willemstad
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
Dominican Republic,Santo Domingo
East Timor,Dli
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Eswatiniformerly Swaziland,Mbabane
Ethiopia,Addis Ababa
Falkland Islands,Stanley
Faroe Islands,Trshavn
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana,Cayenne
French Polynesia,Papeete
Gabon,Libreville
The Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Grenada,St George's
Guadeloupe,BasseTerre
Guam,Hagtaformerly Agaa
Guatemala,Guatemala City
Guernsey,Saint Peter Port
Guinea,Conakry
GuineaBissau,Bissau
Guyana,Georgetown
Haiti,PortauPrince
Honduras,Tegucigalpa
Hong Kong,Hong Kong
Hungary,Budapest
Iceland,Reykjavk
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Isle of Man,Douglas
Israel,Jerusalem declareda
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jersey,St Helier
Jordan,Amman
Kazakhstan,NurSultan
Kenya,Nairobi
Kiribati,Tarawa
North Korea,Pyongyang
South Korea,Seoul
Kosovo,Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macau,Macau
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Mal
Mali,Bamako
Malta,Valletta
Marshall Islands,Majuro
Martinique,FortdeFrance
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte,Mamoudzou
Mexico,Mexico City
Federated States of Micronesia,Palikir
Moldova,Chiinu
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,Brades Estate
Morocco,Rabat
Mozambique,Maputo
Myanmar or Burma,Naypyidaw
Namibia,Windhoek
Nauru,Yaren de facto
Nepal,Kathmandu
Netherlands,Amsterdam
New Caledonia,Nouma
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
Norfolk Island,Kingston
North Macedonia,Skopje
Northern Mariana Islands,Saipan
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Palestine,East Jerusalem declared Ramallah administrative capitalb
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asuncin
Peru,Lima
Philippines,Manila
Pitcairn Islands,Adamstown
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Runion,SaintDenis
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Sahrawi Arab Democratic Republic,Laayoune
Saint Barthlemy,Gustavia
"Saint Helena, Ascension and Tristan da Cunha",Jamestown
Saint Kitts and Nevis,Basseterre
Saint Martin,Marigot
Saint Lucia,Castries
Saint Pierre and Miquelon,SaintPierre
Saint Vincent and the Grenadines,Kingstown
Samoa,Apia
San Marino,San Marino
So Tom and Prncipe,So Tom
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Sint Maarten,Philipsburg
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,"Pretoria administrative capital, Cape Town legislative capital, Bloemfontein, judicial capital"
South Sudan,Juba
Spain,Madrid
Sri Lanka,Sri Jayawardenapura Kotte
Sudan,Khartoum
Suriname,Paramaribo
Svalbard,Longyearbyen
Sweden,Stockholm
Switzerland,Bern de facto
Syria,Damascus
Taiwan Republic of China,Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lom
Tokelau,
Tonga,Nukualofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Turks and Caicos Islands,Cockburn Town
Tuvalu,Fongafale in Funafuti
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,"Washington, DC"
United States Virgin Islands,Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wallis and Futuna,Mata Utu
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
